comments	label
적당한 선에서 주저 앉혀야 한다 대가리 너무 커지면 주인도 몰라본다 $4 000 선에서 놀도록 조절이 필요하다	1
호로씹종자 새끼들이네	1
효린아 이쁘고 잘나가는 니가 참아라 저런 면상도 까서 뒤에서 징징대는 쾅이들 뭐할려고 상대하냐 인생패배자들 지금와서 삥뜯어볼려고 에라이 퉤슈	1
솔직히 신천지일 가능성도 있지ㅋ	1
런닝 이지 여자도 있는데 맨이라고하는건 여성차별적프로그램이라는거야 런닝 피플 바꿔라ㅋㅋㅋ	1
김포맘들 우루루몰려가서깽판친거랑 같네 ㄷㄷㄷㄷㄷㄷㄷ	1
ㅋㅋㅋㅋ차예련이 딱히 악플 먹을 연예인이 아닌데 뭐라고 차예련이 글타고 사과할 건더기는 아니고 그냥 이해하고 넘기자 아줌마는 건들면 안돼요 근데 그냥 웃긴다	1
ㅋㅋㅋㅋ차유람 세뇌당해서 예수쟁이됨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
이지아 고쳤던 뭐했던 이쁘건 진짜 이쁘다 뭐랄까 신비스러운 느낌이랄까	1
ㅋㅋ월 200받는 월급쟁이들 천만원 밥값발언에 단체로 풀발했네 많은만큼 소비액 높아지는걸 스스럼없이 표현한건데 그지들 모였어ㅎㅎㅋㅋㅋㅋㅋ	1
잡고 있었노	1
아줌이 좋냐	1
안할꺼면 글올리지마라 노잼	1
페미니즘 정신병 임을 한번 느낀다	1
저렇게 눈큰 여자는 눈작은남자를 좋아한다 눈작은남자가 잘생겨보인다 내가그렇다	1
요샌 혼전dduk jill 유행인가 ㅈ같은 재앙페미민국에서 수고하네	1
그래도 너는 죄책감에 부끄러워 할줄은 아는구나 송혜교측은 아직도 뻔뻔하게 탈세아니라고 우기던데	1
공산당의 무서움을 알겠냐 중국이 이정도인데 북한은 오죽하긋냐 미국 박정희가 없었다면 우리나라 저꼴일수도 있다는걸 알아라	1
확실이 여자들이 투표하는걸 좋아하네 4년째 이런프로를 빨아주는거보니 ㅋㅋ 근데 대통령이나 잘뽑지	1
얼굴만 됐어도 대성했을텐데 너무 여자가 세보여서	1
친한 여자사람 친구 신랑이 대깨문이었음친구가 아무리 설득을 해도 한국당 싫다고 못박던 사람이었는데어제 거래처 사장이랑 회식할때 거래처 사장이 문재인 욕을 팩트로 무장해서쏘아부쳤나봄 집에와서는 이제 문재인 정권 지지못하겠다고 얘기했다함	1
기레기 닭이라 멍청해서 미투운동 본질도 모름 연예인 사생활이나 기레기 찐따야ㅋㅋ	1
공부해라 딴따라 한다고 설치지 말고	1
근데 막줄이 틀림 남자 ㅅㅌㅊ가 소극적이잖아 여자들이 존나 좋아함 지만 보고 딴짓 안할것 같아서	1
힘내세요 한고은님 btw 아래 한남충 뭐냐 평생 연애하나 못하고 홀애비로 살다 가라 니같은건 여자랑 결혼할 자격읍다	1
근데 저거 검색해보니까 일본에서 아이들이 밖에서 늦게까지 놀러다니지말라고 부모들이 지어낸 이야기노 ㅋㅋ 시발	1
판빙빙 이미 공안사람들한테 돌리빵당한듯 협박영상까지 있다는것 같은데 오늘 판청청이 팬미팅때 계속 누나애기만하면 눈물 나왔다고 이제 두번 다시 만나수가 없다	1
이건 조용하네 언냐들 일관성있게 조용하던가 그러니 페미는 정신질환 소릴듣는거지	1
성격상 이혼한다는거 잘생각하세요 그고통은 아이들이 내려 받습니다 아이의 결혼식에 이혼한 부부가 앉아 있는거 모순이지 ㅉㅉ	1
길가다 짱깨어 떠드는 좆선족들 배에 칼침 놔줘라	1
이상엽이는 평생을 바쳤는데 여자는 돈많은사람이랑 엮네 이러니김치소리듣지	1
이런남편 감지덕지하니 의부증에 이혼 이혼 밥먹듯이말하다 진짜이혼당하면 못살꺼같은데 그성깔 누가맞출까요 성깔죽이고사세요	1
민폐존나심하네ㅜ	1
찐따들이 일본가서 살고싶어하는거자나	1
티비에 아픈사람은 안나왔으면	1
하여간 더럽게 역겨움	1
미진년 진짜 조심해야해 여자잘못만나면 폐가망신한다 이번 살인사건도 마찬가지고	1
걸크러쉬 이딴거 하지마라 82킬로 지영이들만 좋아라하지 정작 연예인들한테는 마이너스일뿐이다	1
양아치들도 생기부 잘써주거나	1
태양 휴가나와서 아내랑 사진 같이 찍었는줄 낚었냐 기레기진짜ㄷㄷ 33살 밖에 안됐구나 나이있는줄 알았소	1
외조카들 존나 이뻐해주는 삼촌도 있다 이기얌	1
수학강사든 용접공이든 개좆도 아닌 일들하면서누가 낫네 지랄들이노ㅋㅋㅋㅋ사회에서 밑바닥 직업층에 속하는데 누가 낫냐고 비교질하는게아니꼬울따름임ㅋㅋㅋ	1
그나저나 장동건 고소영 딸은 크면 여자연예인들도 오징어 만든다	1
아빠 조심해라	1
suv는 얌체인거고 애초에 블박새끼가 안전거리 미확보에다가 앞차 갑자기 브레이크등 들어왔는데 넋놓고 있다가 박은거잖아고속도로에서는 앞차 브레이크 들어오면 이게 풀브레이크인지 그냥 병신처럼 밟은건지 구분이 가니 긴장타고 있어야 한다그래서 안전거리 100km/h당 100m가 필요한거고 블박새끼가 뒤집어 쓰는거임 이건	1
30대중반인데요새는 라면쳐묵으면 다음날 몸이무겁거나 머리가무겁거나 얼굴이붓거나 설사를하가나 뭔가 좃같더라라면끊고 저녁9시이후 안먹고 유산균먹기시작한지 3개월인데 매일몸가볍고 똥설사안하고 존나 신세계임 우울증증상도 사라져사 노무 좋음 게이들아 유산균먹어라 한달로치면 1만원정도밖에 안함	1
젖탱이는 인정 자연산에 크기도 존나 크고 모양도 문제는 면상	1
그냥 아예 좃병신인데 뭐이렇게 혓바닥이 길어	1
저런 여자는 자식을 잔득 넣어줘야 정신을 차리지	1
유명인은 결혼 하다가 이혼하면 재상 반띵 해줘야 하는뎅 그냥 혼자 살면서 20대초 모델이나 레이싱걸들 따먹으면서 사는게 낫지	1
솔직히 막장 아닌드라마가 어딨음 재밌게 쳐봐놓고 안본다고 징징거리노	1
일베들 김미화 까내리는거 보소 그럴수록 김미화님 화이팅	1
